::1 - - [19/Dec/2024:15:10:53 +0000] "GET /api/products/204 HTTP/1.1" 200 275 "-" "PostmanRuntime/7.37.3"
::1 - - [19/Dec/2024:15:11:08 +0000] "GET /api/products/204 HTTP/1.1" 200 275 "-" "PostmanRuntime/7.37.3"
::1 - - [19/Dec/2024:15:11:18 +0000] "GET /api/products/203 HTTP/1.1" 200 268 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:18 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /api/products?page=1&limit=20&search=produk HTTP/1.1" 200 5017 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:21 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734284360687-168318644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /api/products/201 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:22 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:23 +0000] "GET /api/products?page=1&limit=20&search=produk HTTP/1.1" 200 5017 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:23 +0000] "GET /api/products/201 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:24 +0000] "GET /api/products?page=1&limit=20&search=produk HTTP/1.1" 200 5017 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:25 +0000] "GET /api/products/201 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:26 +0000] "GET /api/products?page=1&limit=20&search=produk HTTP/1.1" 200 5017 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:40 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:11:42 +0000] "GET /api/products/210 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:43 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
